text,target,keywords_sorted,keywords_indices,keywords_count
"['find', 'alexian', 'brothers', 'hospitals']","['<KEYWORD>', 'find', '<KEYWORD>', '<KEYWORD>', 'alexian', '<KEYWORD>', 'brothers', '<KEYWORD>', 'hospitals', '<KEYWORD>']","['find', 'alexian', 'hospitals']","[0, 1, 3]",3
"['find', 'bart', 'train', 'schedules', 'and', 'fares']","['<KEYWORD>', 'find', '<KEYWORD>', '<KEYWORD>', 'bart', '<KEYWORD>', 'train', '<KEYWORD>', 'schedules', '<KEYWORD>', 'and', '<KEYWORD>', 'fares', '<KEYWORD>']","['find', 'bart', 'schedules', 'fares']","[0, 1, 3, 5]",4
"['find', 'brooks', 'brothers', 'online', 'promotional', 'coupons']","['<KEYWORD>', 'find', '<KEYWORD>', '<KEYWORD>', 'brooks', '<KEYWORD>', '<KEYWORD>', 'brothers', '<KEYWORD>', 'online', 'promotional', 'coupons']","['find', 'brooks', 'brothers']","[0, 1, 2]",3
"['find', 'discovery', 'channel', 'store', 'locations']","['find', '<KEYWORD>', 'discovery', '<KEYWORD>', '<KEYWORD>', 'channel', '<KEYWORD>', '<KEYWORD>', 'store', '<KEYWORD>', '<KEYWORD>', 'locations', '<KEYWORD>']","['discovery', 'channel', 'store', 'locations']","[1, 2, 3, 4]",4
"['find', 'inuyasha', 'anime', 'episodes', 'for', 'download']","['<KEYWORD>', 'find', '<KEYWORD>', '<KEYWORD>', 'inuyasha', '<KEYWORD>', '<KEYWORD>', 'anime', '<KEYWORD>', 'episodes', 'for', '<KEYWORD>', 'download', '<KEYWORD>']","['find', 'inuyasha', 'anime', 'download']","[0, 1, 2, 5]",4
"['find', 'pittsburgh', 'penguins', 'merchandise', 'such', 'as', 'hockey', 'jerseys']","['find', '<KEYWORD>', 'pittsburgh', '<KEYWORD>', '<KEYWORD>', 'penguins', '<KEYWORD>', 'merchandise', 'such', 'as', '<KEYWORD>', 'hockey', '<KEYWORD>', '<KEYWORD>', 'jerseys', '<KEYWORD>']","['pittsburgh', 'penguins', 'hockey', 'jerseys']","[1, 2, 6, 7]",4
"['find', 'fun', 'facts', 'about', 'idaho', 'state', 'flower', 'tree', 'bird', 'etc']","['find', '<KEYWORD>', 'fun', '<KEYWORD>', 'facts', 'about', '<KEYWORD>', 'idaho', '<KEYWORD>', '<KEYWORD>', 'state', '<KEYWORD>', '<KEYWORD>', 'flower', '<KEYWORD>', 'tree', 'bird', 'etc']","['fun', 'idaho', 'state', 'flower']","[1, 4, 5, 6]",4
"['find', 'reasonable', 'dieting', 'advice', 'that', 'is', 'not', 'fads', 'or', 'medications', 'but', 'reasonable', 'methods', 'for', 'weight', 'loss']","['find', 'reasonable', '<KEYWORD>', 'dieting', '<KEYWORD>', '<KEYWORD>', 'advice', '<KEYWORD>', 'that', 'is', 'not', 'fads', 'or', 'medications', 'but', 'reasonable', '<KEYWORD>', 'methods', '<KEYWORD>', 'for', '<KEYWORD>', 'weight', '<KEYWORD>', 'loss']","['dieting', 'advice', 'methods', 'weight']","[2, 3, 12, 14]",4
"['find', 'a', 'volvo', 'dealer']","['find', 'a', '<KEYWORD>', 'volvo', '<KEYWORD>', '<KEYWORD>', 'dealer', '<KEYWORD>']","['volvo', 'dealer']","[2, 3]",2
"['find', 'a', 'black', 'and', 'white', 'outline', 'map', 'of', 'the', 'united', 'states', 'such', 'that', 'a', 'child', 'could', 'color']","['<KEYWORD>', 'find', '<KEYWORD>', 'a', 'black', 'and', 'white', 'outline', '<KEYWORD>', 'map', '<KEYWORD>', 'of', 'the', 'united', '<KEYWORD>', 'states', '<KEYWORD>', 'such', 'that', 'a', 'child', 'could', 'color']","['find', 'map', 'states']","[0, 6, 10]",3
"['find', 'a', 'history', 'of', 'hangul', 'the', 'korean', 'writing', 'system']","['<KEYWORD>', 'find', '<KEYWORD>', 'a', '<KEYWORD>', 'history', '<KEYWORD>', 'of', '<KEYWORD>', 'hangul', '<KEYWORD>', 'the', 'korean', 'writing', '<KEYWORD>', 'system', '<KEYWORD>']","['find', 'history', 'hangul', 'system']","[0, 2, 4, 8]",4
"['find', 'a', 'history', 'of', 'classical', 'music']","['<KEYWORD>', 'find', '<KEYWORD>', 'a', 'history', 'of', 'classical', '<KEYWORD>', 'music', '<KEYWORD>']","['find', 'music']","[0, 5]",2
"['find', 'a', 'list', 'of', 'neil', 'young', 'tour', 'dates']","['<KEYWORD>', 'find', '<KEYWORD>', 'a', 'list', 'of', '<KEYWORD>', 'neil', '<KEYWORD>', '<KEYWORD>', 'young', '<KEYWORD>', 'tour', '<KEYWORD>', 'dates', '<KEYWORD>']","['find', 'neil', 'young', 'dates']","[0, 4, 5, 7]",4
"['find', 'a', 'list', 'of', 'past', 'presidents', 'of', 'the', 'united', 'states']","['<KEYWORD>', 'find', '<KEYWORD>', 'a', '<KEYWORD>', 'list', '<KEYWORD>', 'of', 'past', 'presidents', 'of', 'the', 'united', 'states']","['find', 'list']","[0, 2]",2
"['find', 'a', 'map', 'for', 'the', 'indiana', 'state', 'fairgrounds']","['find', 'a', '<KEYWORD>', 'map', '<KEYWORD>', 'for', 'the', '<KEYWORD>', 'indiana', '<KEYWORD>', '<KEYWORD>', 'state', '<KEYWORD>', '<KEYWORD>', 'fairgrounds', '<KEYWORD>']","['map', 'indiana', 'state', 'fairgrounds']","[2, 5, 6, 7]",4
"['find', 'a', 'map', 'of', 'barbados']","['<KEYWORD>', 'find', '<KEYWORD>', 'a', '<KEYWORD>', 'map', '<KEYWORD>', 'of', 'barbados']","['find', 'map']","[0, 2]",2
"['find', 'a', 'map', 'of', 'the', 'area', 'around', 'the', 'us', 'capitol', 'including', 'nearby', 'sites', 'to', 'visit']","['find', 'a', '<KEYWORD>', 'map', '<KEYWORD>', 'of', 'the', 'area', 'around', 'the', '<KEYWORD>', 'us', '<KEYWORD>', '<KEYWORD>', 'capitol', '<KEYWORD>', 'including', '<KEYWORD>', 'nearby', '<KEYWORD>', 'sites', 'to', 'visit']","['map', 'us', 'capitol', 'nearby']","[2, 8, 9, 11]",4
"['find', 'a', 'map', 'of', 'the', 'islands', 'of', 'vanuatu']","['find', 'a', '<KEYWORD>', 'map', '<KEYWORD>', 'of', 'the', '<KEYWORD>', 'islands', '<KEYWORD>', 'of', '<KEYWORD>', 'vanuatu', '<KEYWORD>']","['map', 'islands', 'vanuatu']","[2, 5, 7]",3
"['find', 'a', 'map', 'showing', 'lodgings', 'in', 'the', 'poconos', 'pa', 'region']","['<KEYWORD>', 'find', '<KEYWORD>', 'a', 'map', 'showing', 'lodgings', 'in', 'the', '<KEYWORD>', 'poconos', '<KEYWORD>', '<KEYWORD>', 'pa', '<KEYWORD>', '<KEYWORD>', 'region', '<KEYWORD>']","['find', 'poconos', 'pa', 'region']","[0, 7, 8, 9]",4
"['find', 'a', 'picture', 'of', 'a', 'blue', 'throated', 'hummingbird']","['find', 'a', '<KEYWORD>', 'picture', '<KEYWORD>', 'of', 'a', 'blue', 'throated', '<KEYWORD>', 'hummingbird', '<KEYWORD>']","['picture', 'hummingbird']","[2, 7]",2
"['find', 'a', 'picture', 'of', 'the', 'last', 'supper', 'painting', 'by', 'leonardo', 'da', 'vinci']","['find', 'a', '<KEYWORD>', 'picture', '<KEYWORD>', 'of', 'the', '<KEYWORD>', 'last', '<KEYWORD>', '<KEYWORD>', 'supper', '<KEYWORD>', 'painting', 'by', '<KEYWORD>', 'leonardo', '<KEYWORD>', 'da', 'vinci']","['picture', 'last', 'supper', 'leonardo']","[2, 5, 6, 9]",4
"['find', 'a', 'raised', 'garden', 'bed', 'kit']","['<KEYWORD>', 'find', '<KEYWORD>', 'a', 'raised', '<KEYWORD>', 'garden', '<KEYWORD>', '<KEYWORD>', 'bed', '<KEYWORD>', '<KEYWORD>', 'kit', '<KEYWORD>']","['find', 'garden', 'bed', 'kit']","[0, 3, 4, 5]",4
"['find', 'a', 'retailer', 'from', 'whom', 'i', 'can', 'buy', 'a', 'bowflex', 'power', 'pro']","['<KEYWORD>', 'find', '<KEYWORD>', 'a', 'retailer', 'from', 'whom', 'i', 'can', 'buy', 'a', '<KEYWORD>', 'bowflex', '<KEYWORD>', '<KEYWORD>', 'power', '<KEYWORD>', '<KEYWORD>', 'pro', '<KEYWORD>']","['find', 'bowflex', 'power', 'pro']","[0, 9, 10, 11]",4
"['find', 'a', 'schedule', 'of', 'events', 'taking', 'place', 'at', 'the', 'orange', 'county', 'convention', 'center']","['find', 'a', 'schedule', 'of', '<KEYWORD>', 'events', '<KEYWORD>', '<KEYWORD>', 'taking', '<KEYWORD>', '<KEYWORD>', 'place', '<KEYWORD>', 'at', 'the', 'orange', 'county', 'convention', 'center']","['events', 'taking', 'place']","[4, 5, 6]",3
"['find', 'a', 'site', 'that', 'automatically', 'plans', 'trips', 'on', 'the', 'bart', 'system']","['<KEYWORD>', 'find', '<KEYWORD>', 'a', 'site', 'that', 'automatically', '<KEYWORD>', 'plans', '<KEYWORD>', '<KEYWORD>', 'trips', '<KEYWORD>', 'on', 'the', '<KEYWORD>', 'bart', '<KEYWORD>', 'system']","['find', 'plans', 'trips', 'bart']","[0, 5, 6, 9]",4
"['find', 'a', 'street', 'map', 'of', 'flushing', 'ny']","['<KEYWORD>', 'find', '<KEYWORD>', 'a', 'street', '<KEYWORD>', 'map', '<KEYWORD>', 'of', '<KEYWORD>', 'flushing', '<KEYWORD>', '<KEYWORD>', 'ny', '<KEYWORD>']","['find', 'map', 'flushing', 'ny']","[0, 3, 5, 6]",4
"['find', 'a', 'street', 'level', 'map', 'of', 'hoboken', 'nj']","['find', 'a', 'street', 'level', '<KEYWORD>', 'map', '<KEYWORD>', 'of', '<KEYWORD>', 'hoboken', '<KEYWORD>', '<KEYWORD>', 'nj', '<KEYWORD>']","['map', 'hoboken', 'nj']","[4, 6, 7]",3
"['find', 'a', 'timeline', 'for', 'african', 'americans', 'in', 'the', 'united', 'states']","['find', 'a', 'timeline', 'for', 'african', 'americans', 'in', 'the', '<KEYWORD>', 'united', '<KEYWORD>', '<KEYWORD>', 'states', '<KEYWORD>']","['united', 'states']","[8, 9]",2
"['find', 'a', 'timeline', 'of', 'the', 'civil', 'rights', 'movement', 'in', 'the', 'united', 'states']","['find', 'a', 'timeline', 'of', 'the', '<KEYWORD>', 'civil', '<KEYWORD>', 'rights', '<KEYWORD>', 'movement', '<KEYWORD>', 'in', 'the', 'united', '<KEYWORD>', 'states', '<KEYWORD>']","['civil', 'movement', 'states']","[5, 7, 11]",3
"['find', 'activities', 'for', 'children', 'for', 'black', 'history', 'month']","['<KEYWORD>', 'find', '<KEYWORD>', '<KEYWORD>', 'activities', '<KEYWORD>', 'for', 'children', 'for', '<KEYWORD>', 'black', '<KEYWORD>', 'history', '<KEYWORD>', 'month', '<KEYWORD>']","['find', 'activities', 'black', 'month']","[0, 1, 5, 7]",4
"['find', 'albums', 'by', 'neil', 'young', 'to', 'buy']","['find', '<KEYWORD>', 'albums', '<KEYWORD>', 'by', '<KEYWORD>', 'neil', '<KEYWORD>', '<KEYWORD>', 'young', '<KEYWORD>', 'to', 'buy']","['albums', 'neil', 'young']","[1, 3, 4]",3
"['find', 'an', 'explanation', 'of', 'the', 'different', 'types', 'of', 'joints', 'used', 'in', 'woodworking']","['find', 'an', 'explanation', 'of', 'the', 'different', '<KEYWORD>', 'types', '<KEYWORD>', 'of', '<KEYWORD>', 'joints', '<KEYWORD>', '<KEYWORD>', 'used', '<KEYWORD>', 'in', '<KEYWORD>', 'woodworking', '<KEYWORD>']","['types', 'joints', 'used', 'woodworking']","[6, 8, 9, 11]",4
"['find', 'an', 'online', 'source', 'for', 'volvo', 'parts']","['<KEYWORD>', 'find', '<KEYWORD>', 'an', 'online', 'source', 'for', '<KEYWORD>', 'volvo', '<KEYWORD>', '<KEYWORD>', 'parts', '<KEYWORD>']","['find', 'volvo', 'parts']","[0, 5, 6]",3
"['find', 'archives', 'of', 'articles', 'from', 'the', 'milwaukee', 'journal', 'sentinel']","['<KEYWORD>', 'find', '<KEYWORD>', 'archives', 'of', '<KEYWORD>', 'articles', '<KEYWORD>', 'from', 'the', 'milwaukee', '<KEYWORD>', 'journal', '<KEYWORD>', '<KEYWORD>', 'sentinel', '<KEYWORD>']","['find', 'articles', 'journal', 'sentinel']","[0, 3, 7, 8]",4
"['find', 'attachments', 'for', 'bobcat', 'tractors']","['<KEYWORD>', 'find', '<KEYWORD>', 'attachments', 'for', '<KEYWORD>', 'bobcat', '<KEYWORD>', 'tractors']","['find', 'bobcat']","[0, 3]",2
"['find', 'background', 'information', 'about', 'man', 'made', 'satellites']","['find', 'background', '<KEYWORD>', 'information', '<KEYWORD>', 'about', 'man', 'made', 'satellites']",['information'],[2],1
"['find', 'background', 'information', 'about', 'the', 'korean', 'language']","['<KEYWORD>', 'find', '<KEYWORD>', 'background', 'information', 'about', 'the', 'korean', '<KEYWORD>', 'language', '<KEYWORD>']","['find', 'language']","[0, 6]",2
"['find', 'background', 'information', 'on', 'plate', 'tectonics', 'and', 'the', 'lithosphere']","['<KEYWORD>', 'find', '<KEYWORD>', 'background', 'information', 'on', '<KEYWORD>', 'plate', '<KEYWORD>', 'tectonics', 'and', 'the', 'lithosphere']","['find', 'plate']","[0, 4]",2
"['find', 'basic', 'background', 'information', 'on', 'obsessive', 'compulsive', 'disorder', 'ocd']","['find', 'basic', '<KEYWORD>', 'background', '<KEYWORD>', 'information', 'on', 'obsessive', 'compulsive', 'disorder', '<KEYWORD>', 'ocd', '<KEYWORD>']","['background', 'ocd']","[2, 8]",2
"['find', 'basic', 'information', 'about', 'the', 'dangers', 'of', 'asbestos']","['<KEYWORD>', 'find', '<KEYWORD>', '<KEYWORD>', 'basic', '<KEYWORD>', '<KEYWORD>', 'information', '<KEYWORD>', 'about', 'the', '<KEYWORD>', 'dangers', '<KEYWORD>', 'of', 'asbestos']","['find', 'basic', 'information', 'dangers']","[0, 1, 2, 5]",4
"['find', 'beachfront', 'condos', 'for', 'sale', 'in', 'florida']","['find', 'beachfront', '<KEYWORD>', 'condos', '<KEYWORD>', 'for', '<KEYWORD>', 'sale', '<KEYWORD>', 'in', '<KEYWORD>', 'florida', '<KEYWORD>']","['condos', 'sale', 'florida']","[2, 4, 6]",3
"['find', 'biographical', 'information', 'about', 'neil', 'young']","['find', 'biographical', 'information', 'about', '<KEYWORD>', 'neil', '<KEYWORD>', '<KEYWORD>', 'young', '<KEYWORD>']","['neil', 'young']","[4, 5]",2
"['find', 'biographical', 'information', 'about', 'ralph', 'owen', 'brewster']","['find', 'biographical', '<KEYWORD>', 'information', '<KEYWORD>', 'about', '<KEYWORD>', 'ralph', '<KEYWORD>', '<KEYWORD>', 'owen', '<KEYWORD>', '<KEYWORD>', 'brewster', '<KEYWORD>']","['information', 'ralph', 'owen', 'brewster']","[2, 4, 5, 6]",4
"['find', 'biographical', 'information', 'about', 'sir', 'stamford', 'raffles']","['find', 'biographical', 'information', 'about', '<KEYWORD>', 'sir', '<KEYWORD>', '<KEYWORD>', 'stamford', '<KEYWORD>', 'raffles']","['sir', 'stamford']","[4, 5]",2
"['find', 'biographical', 'information', 'about', 'former', 'secretary', 'of', 'state', 'condoleeza', 'rice']","['find', 'biographical', 'information', 'about', '<KEYWORD>', 'former', '<KEYWORD>', 'secretary', 'of', 'state', 'condoleeza', '<KEYWORD>', 'rice', '<KEYWORD>']","['former', 'rice']","[4, 9]",2
"['find', 'biographical', 'information', 'on', 'barack', 'obama', 's', 'mother']","['find', '<KEYWORD>', 'biographical', '<KEYWORD>', 'information', 'on', '<KEYWORD>', 'barack', '<KEYWORD>', '<KEYWORD>', 'obama', '<KEYWORD>', 's', '<KEYWORD>', 'mother', '<KEYWORD>']","['biographical', 'barack', 'obama', 'mother']","[1, 4, 5, 7]",4
"['find', 'biographical', 'information', 'on', 'director', 'ron', 'howard']","['<KEYWORD>', 'find', '<KEYWORD>', 'biographical', 'information', 'on', '<KEYWORD>', 'director', '<KEYWORD>', '<KEYWORD>', 'ron', '<KEYWORD>', '<KEYWORD>', 'howard', '<KEYWORD>']","['find', 'director', 'ron', 'howard']","[0, 4, 5, 6]",4
"['find', 'career', 'resources', 'and', 'information', 'on', 'job', 'seeking', 'in', 'michigan']","['find', 'career', '<KEYWORD>', 'resources', '<KEYWORD>', 'and', '<KEYWORD>', 'information', '<KEYWORD>', 'on', 'job', '<KEYWORD>', 'seeking', '<KEYWORD>', 'in', '<KEYWORD>', 'michigan', '<KEYWORD>']","['resources', 'information', 'seeking', 'michigan']","[2, 4, 7, 9]",4
"['find', 'catalogs', 'of', 'office', 'supplies', 'for', 'organization', 'and', 'decluttering']","['find', 'catalogs', 'of', '<KEYWORD>', 'office', '<KEYWORD>', '<KEYWORD>', 'supplies', '<KEYWORD>', 'for', 'organization', 'and', 'decluttering']","['office', 'supplies']","[3, 4]",2
"['find', 'contact', 'information', 'for', 'the', 'california', 'ftb']","['<KEYWORD>', 'find', '<KEYWORD>', '<KEYWORD>', 'contact', '<KEYWORD>', 'information', 'for', 'the', '<KEYWORD>', 'california', '<KEYWORD>', '<KEYWORD>', 'ftb', '<KEYWORD>']","['find', 'contact', 'california', 'ftb']","[0, 1, 5, 6]",4
"['find', 'crash', 'diet', 'plans', 'that', 'promise', 'quick', 'weight', 'loss', 'in', 'a', 'short', 'period', 'of', 'time']","['find', 'crash', '<KEYWORD>', 'diet', '<KEYWORD>', '<KEYWORD>', 'plans', '<KEYWORD>', 'that', 'promise', 'quick', 'weight', 'loss', 'in', 'a', 'short', '<KEYWORD>', 'period', '<KEYWORD>', 'of', '<KEYWORD>', 'time', '<KEYWORD>']","['diet', 'plans', 'period', 'time']","[2, 3, 12, 14]",4
"['find', 'current', 'performances', 'of', 'the', 'music', 'man']","['find', 'current', 'performances', 'of', 'the', '<KEYWORD>', 'music', '<KEYWORD>', '<KEYWORD>', 'man', '<KEYWORD>']","['music', 'man']","[5, 6]",2
"['find', 'dealers', 'that', 'sell', 'or', 'rent', 'bobcat', 'tractors', 'and', 'construction', 'equipment']","['<KEYWORD>', 'find', '<KEYWORD>', '<KEYWORD>', 'dealers', '<KEYWORD>', 'that', 'sell', 'or', '<KEYWORD>', 'rent', '<KEYWORD>', '<KEYWORD>', 'bobcat', '<KEYWORD>', 'tractors', 'and', 'construction', 'equipment']","['find', 'dealers', 'rent', 'bobcat']","[0, 1, 5, 6]",4
"['find', 'demographic', 'information', 'about', 'cass', 'county', 'mo']","['<KEYWORD>', 'find', '<KEYWORD>', '<KEYWORD>', 'demographic', '<KEYWORD>', 'information', 'about', '<KEYWORD>', 'cass', '<KEYWORD>', '<KEYWORD>', 'county', '<KEYWORD>', 'mo']","['find', 'demographic', 'cass', 'county']","[0, 1, 4, 5]",4
"['find', 'downloadable', 'sewing', 'patterns']","['<KEYWORD>', 'find', '<KEYWORD>', '<KEYWORD>', 'downloadable', '<KEYWORD>', '<KEYWORD>', 'sewing', '<KEYWORD>', 'patterns']","['find', 'downloadable', 'sewing']","[0, 1, 2]",3
"['find', 'driving', 'directions', 'to', 'the', 'indiana', 'state', 'fairgrounds']","['find', '<KEYWORD>', 'driving', '<KEYWORD>', '<KEYWORD>', 'directions', '<KEYWORD>', 'to', 'the', '<KEYWORD>', 'indiana', '<KEYWORD>', 'state', '<KEYWORD>', 'fairgrounds', '<KEYWORD>']","['driving', 'directions', 'indiana', 'fairgrounds']","[1, 2, 5, 7]",4
"['find', 'examples', 'of', 'thank', 'you', 'letters', 'for', 'sending', 'after', 'an', 'interview']","['<KEYWORD>', 'find', '<KEYWORD>', '<KEYWORD>', 'examples', '<KEYWORD>', 'of', 'thank', 'you', '<KEYWORD>', 'letters', '<KEYWORD>', 'for', 'sending', 'after', 'an', '<KEYWORD>', 'interview', '<KEYWORD>']","['find', 'examples', 'letters', 'interview']","[0, 1, 5, 10]",4
"['find', 'flight', 'information', 'for', 'the', 'ontario', 'ca', 'airport']","['find', '<KEYWORD>', 'flight', '<KEYWORD>', 'information', 'for', 'the', '<KEYWORD>', 'ontario', '<KEYWORD>', '<KEYWORD>', 'ca', '<KEYWORD>', '<KEYWORD>', 'airport', '<KEYWORD>']","['flight', 'ontario', 'ca', 'airport']","[1, 5, 6, 7]",4
"['find', 'free', 'activities', 'and', 'materials', 'for', 'running', 'a', 'diversity', 'training', 'program', 'in', 'my', 'office']","['<KEYWORD>', 'find', '<KEYWORD>', '<KEYWORD>', 'free', '<KEYWORD>', 'activities', 'and', 'materials', 'for', 'running', 'a', 'diversity', 'training', '<KEYWORD>', 'program', '<KEYWORD>', 'in', 'my', 'office']","['find', 'free', 'program']","[0, 1, 10]",3
"['find', 'free', 'diabetes', 'education', 'materials', 'such', 'as', 'videos', 'pamphlets', 'and', 'books']","['find', '<KEYWORD>', 'free', '<KEYWORD>', 'diabetes', 'education', 'materials', 'such', 'as', '<KEYWORD>', 'videos', '<KEYWORD>', 'pamphlets', 'and', 'books']","['free', 'videos']","[1, 7]",2
"['find', 'free', 'flame', 'design', 'clipart', 'i', 'can', 'use', 'on', 'a', 'website']","['find', '<KEYWORD>', 'free', '<KEYWORD>', '<KEYWORD>', 'flame', '<KEYWORD>', 'design', '<KEYWORD>', 'clipart', '<KEYWORD>', 'i', 'can', '<KEYWORD>', 'use', '<KEYWORD>', 'on', 'a', 'website']","['free', 'flame', 'clipart', 'use']","[1, 2, 4, 7]",4
"['find', 'free', 'internet', 'phone', 'service']","['<KEYWORD>', 'find', '<KEYWORD>', '<KEYWORD>', 'free', '<KEYWORD>', '<KEYWORD>', 'internet', '<KEYWORD>', '<KEYWORD>', 'phone', '<KEYWORD>', 'service']","['find', 'free', 'internet', 'phone']","[0, 1, 2, 3]",4
"['find', 'games', 'based', 'on', 'the', 'inuyasha', 'series', 'either', 'online', 'or', 'for', 'game', 'systems']","['find', '<KEYWORD>', 'games', '<KEYWORD>', '<KEYWORD>', 'based', '<KEYWORD>', 'on', 'the', '<KEYWORD>', 'inuyasha', '<KEYWORD>', 'series', 'either', 'online', 'or', 'for', 'game', '<KEYWORD>', 'systems', '<KEYWORD>']","['games', 'based', 'inuyasha', 'systems']","[1, 2, 5, 12]",4
"['find', 'general', 'information', 'about', 'iowa', 's', 'food', 'stamps', 'program']","['<KEYWORD>', 'find', '<KEYWORD>', 'general', 'information', 'about', '<KEYWORD>', 'iowa', '<KEYWORD>', 's', '<KEYWORD>', 'food', '<KEYWORD>', 'stamps', '<KEYWORD>', 'program', '<KEYWORD>']","['find', 'iowa', 'food', 'program']","[0, 4, 6, 8]",4
"['find', 'general', 'information', 'about', 'the', 'sats']","['<KEYWORD>', 'find', '<KEYWORD>', '<KEYWORD>', 'general', '<KEYWORD>', 'information', 'about', 'the', '<KEYWORD>', 'sats', '<KEYWORD>']","['find', 'general', 'sats']","[0, 1, 5]",3
"['find', 'general', 'information', 'on', 'tourist', 'activities', 'in', 'pennsylvania', 's', 'pocono', 'mountains']","['find', 'general', 'information', 'on', '<KEYWORD>', 'tourist', '<KEYWORD>', 'activities', 'in', '<KEYWORD>', 'pennsylvania', '<KEYWORD>', 's', '<KEYWORD>', 'pocono', '<KEYWORD>', '<KEYWORD>', 'mountains', '<KEYWORD>']","['tourist', 'pennsylvania', 'pocono', 'mountains']","[4, 7, 9, 10]",4
"['find', 'helpful', 'sewing', 'tips', 'for', 'beginners']","['<KEYWORD>', 'find', '<KEYWORD>', 'helpful', '<KEYWORD>', 'sewing', '<KEYWORD>', '<KEYWORD>', 'tips', '<KEYWORD>', 'for', 'beginners']","['find', 'sewing', 'tips']","[0, 2, 3]",3
"['find', 'herbal', 'diet', 'supplements', 'and', 'appetite', 'suppressants']","['<KEYWORD>', 'find', '<KEYWORD>', '<KEYWORD>', 'herbal', '<KEYWORD>', '<KEYWORD>', 'diet', '<KEYWORD>', 'supplements', 'and', 'appetite', 'suppressants']","['find', 'herbal', 'diet']","[0, 1, 2]",3
